hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Costa Sariyaz Hotel,4.5/5,377 reviews,"Dr. Mümtaz Ataman Caddesi No:47, Umurca Mahallesi, Mugla, Mugla",4.4/5,4.5/5,4.5/5,4.4/5,35+,4.5/5 guest room rating,215 sq ft,11.0,$26
Viento Hotel Alacati - Special Class,4.7/5,56 reviews,"Yeni Mecidiye Mah. 11039 Sok. No:18, Alaçati, Cesme, Izmir",4.7/5,4.7/5,4.8/5,4.7/5,95+,4.2/5 guest room rating,237 sq ft,11.0,$88
The Marmara Mugla - Adult Only,4.6/5,354 reviews,"Yokusbasi Mahallesi Suluhasan, Caddesi no.18, Mugla, Mugla",4.7/5,4.7/5,4.5/5,4.6/5,56+,4.7/5 guest room rating,344 sq ft,17.0,$177
Anthemis Hotel,4.4/5,159 reviews,"Alemdar Mah. Haci Tahsin Bey Sok. No: 11, Istanbul, Fatih, Istanbul",4.4/5,4.6/5,3.9/5,4.1/5,60+,3.9/5 guest room rating,140 sq ft,8.0,$63
Ayhan Hotel,3.9/5,285 reviews,"Kışla Mahallesi 40.Sokak No:11, Muratpaşa Antalya, Antalya, Antalya",4.0/5,4.1/5,3.5/5,3.8/5,32+,,161 sq ft,8.0,$37
Avicenna Hotel - Special Class,3.7/5,564 reviews,"Mimar Mehmet Aga Cad., Amiral Tafdil Sok. Istanbul, Istanbul, Istanbul",3.8/5,4.0/5,3.5/5,3.5/5,84+,,215 sq ft,11.0,$38
AMOSSIA ELIT BUTIK OTEL,4.5/5,67 reviews,"Turunc Mah., Vatan Caddesi 2/A, Marmaris, Mugla",4.8/5,4.6/5,4.6/5,4.7/5,79+,5/5 guest room rating,161 sq ft,12.0,$52
Movenpick Hotel Istanbul Golden Horn,4.3/5,693 reviews,"Silahtaraga Caddesi, No. 87, Eyup, Istanbul",4.5/5,4.4/5,4.4/5,4.4/5,91+,3.8/5 guest room rating,323 sq ft,15.0,$63
Elite World Europe Hotel,4.3/5,673 reviews,"Basin Ekspres Caddesi No. 4, Kucukcekmece, Istanbul",4.3/5,4.1/5,4.4/5,4.4/5,59+,4.5/5 guest room rating,344 sq ft,13.0,$74
NOX SUITE,4.5/5,69 reviews,"Caglayan Mahallesi, 2015 Sokak No 23, Antalya, Antalya",4.6/5,4.5/5,4.6/5,4.7/5,74+,5/5 guest room rating,538 sq ft,13.0,$57
Sura Design Hotel and Suites - Boutique Class,4.2/5,59 reviews,"Alemdar Mh., Ticarethane Sk. No:13, Fatih, Istanbul, Istanbul",4.2/5,4.3/5,4.2/5,4.1/5,101+,3.6/5 guest room rating,258 sq ft,15.0,$114
Romance Istanbul Hotel,4.8/5,157 reviews,"Hüdavendigar Caddesi No 5 Sirkeci, Fatih, Istanbul",4.9/5,4.9/5,4.8/5,4.8/5,55+,4.6/5 guest room rating,150 sq ft,12.0,$166
Liberi Hotel Taksim,4.6/5,27 reviews,"Bas Aga Çesmesi Sk. No.7, Istanbul, Istanbul",4.8/5,4.8/5,4.3/5,4.7/5,41+,5/5 guest room rating,215 sq ft,7.0,$24
Idylle Hotel,4.6/5,53 reviews,"Hocapasa Mah, Ebusuud Cad No:2, Istanbul, Fatih, Istanbul, Istanbul",4.7/5,4.8/5,4.3/5,4.4/5,159+,,172 sq ft,11.0,$55
"Caresse, a Luxury Collection Resort & Spa, Mugla",4.6/5,49 reviews,"Adnan Menderes caddesi No: 89, Asarlik Mevkii PK 225, Mugla",4.8/5,4.4/5,4.6/5,4.7/5,110+,5/5 guest room rating,388 sq ft,16.0,$263
Doria Hotel Mugla,4.5/5,374 reviews,"1410 Sokak Gündönümü Mevkii, Bitez, Mugla, Mugla",4.6/5,4.5/5,4.2/5,4.5/5,44+,4.9/5 guest room rating,366 sq ft,12.0,$86
Hilton Garden Inn Istanbul Airport,3.9/5,549 reviews,"Yenibosna Mah., Yalcin Kores Cad. 14, Istanbul",4.1/5,3.9/5,3.6/5,4.0/5,52+,4/5 guest room rating,301 sq ft,12.0,$46
Labranda Mares Marmaris - All Inclusive,4.2/5,137 reviews,"Icmeler Mah Ataturk Cad No 64, Marmaris, Mugla",4.3/5,4.2/5,4.2/5,4.1/5,73+,4/5 guest room rating,269 sq ft,16.0,$58
Tempo Suites Airport İstanbul,4.5/5,464 reviews,"Hürriyet cad. Hürriyet mah. No:14, Bahçelievler, Istanbul, Istanbul",4.6/5,4.5/5,3.3/5,4.5/5,27+,4.3/5 guest room rating,215 sq ft,9.0,$38
CVK Park Bosphorus Hotel Istanbul,4.4/5,664 reviews,"Gümüssuyu Mah. Inönü Cad. No:8, Istanbul, Istanbul",4.5/5,4.3/5,4.5/5,4.5/5,131+,4.3/5 guest room rating,377 sq ft,13.0,$169
Wyndham Grand Istanbul Kalamis Marina Hotel,4.5/5,788 reviews,"Fener Kalamis Caddesi 38, Istanbul, Istanbul",4.7/5,4.5/5,4.6/5,4.6/5,91+,5/5 guest room rating,344 sq ft,15.0,$97
Kalyon Hotel Istanbul,4.0/5,472 reviews,"Kennedy Caddesi no:34, Istanbul, Istanbul, Istanbul",4.3/5,4.1/5,3.8/5,4.0/5,82+,4.2/5 guest room rating,161 sq ft,11.0,$80
Urcu Hotel,4.4/5,80 reviews,"Barbaros Mah Hamit Efendi Sok No: 6, Kaleici, Antalya, Antalya",4.6/5,4.5/5,4.6/5,4.3/5,92+,5/5 guest room rating,269 sq ft,9.0,$29
Adamar Hotel - Special Class,4.4/5,934 reviews,"Yerebatan Cad. No: 37, Istanbul, Istanbul, Istanbul",4.5/5,4.6/5,4.1/5,4.3/5,41+,4.4/5 guest room rating,205 sq ft,11.0,$51
Park Dedeman Levent,4.1/5,648 reviews,"Esentepe Mah. Büyükdere Cad. No.187, Levent, Sisli, Istanbul",4.1/5,4.1/5,4.1/5,4.1/5,46+,4.3/5 guest room rating,258 sq ft,13.0,$62
Ilayda Avantgarde Hotel,4.5/5,344 reviews,"Turkmen Mah., Ataturk Bulvari No:42, Kusadasi, Aydin",4.7/5,4.5/5,4.2/5,4.6/5,46+,4.5/5 guest room rating,258 sq ft,13.0,$66
Zeniva Hotel,4.4/5,344 reviews,"Kizilay Caddesi No:1/1 Alsancak, Konak, Izmir, Izmir",4.6/5,4.5/5,4.1/5,4.4/5,43+,4.8/5 guest room rating,215 sq ft,11.0,$54
Hotel Saba,4.5/5,6 reviews,"Binbirdirek mah, Sehit Mehmet, Pasa Yokusu No: 8, Istanbul, Istanbul, Istanbul",4.3/5,4.7/5,0.0/5,4.3/5,30+,5/5 guest room rating,205 sq ft,9.0,$39
Orty Airport Hotel,4.4/5,600 reviews,"Adnan Menderes Airport Entrance, Gaziemir, Izmir, Izmir",4.6/5,4.5/5,3.9/5,4.4/5,28+,4.7/5 guest room rating,258 sq ft,12.0,$47
Yazar Lara Hotel,4.4/5,107 reviews,"Çaglayan, 2005. Sk. no:36, Antalya, Antalya",4.6/5,4.5/5,4.6/5,4.5/5,67+,4.1/5 guest room rating,193 sq ft,8.0,$31
Wyndham Grand Izmir Ozdilek,4.5/5,"1,000 reviews","Inciralti Street Nr 67, Izmir, Izmir",4.5/5,4.4/5,4.5/5,4.4/5,85+,4.8/5 guest room rating,291 sq ft,19.0,$77
Martı Hemithea Hotel,4.3/5,110 reviews,"Orhaniye Koyu Kecibuku Mevkii, Marmaris, Mugla",4.4/5,4.3/5,4.3/5,4.3/5,73+,5/5 guest room rating,463 sq ft,11.0,$164
City Hotel Marmaris,4.2/5,100 reviews,"Kemeralti Mahallesi 64, Sokak No. 9, Marmaris, Mugla",4.3/5,4.3/5,4.2/5,4.2/5,59+,4.2/5 guest room rating,151 sq ft,9.0,$43
La Boutique Hotel Antalya-Adults Only,4.1/5,261 reviews,"Eski Lara Yolu Sirinyali Mahallesi, 1537 Sok. No. 16, Antalya, Antalya",4.4/5,4.2/5,3.5/5,4.2/5,61+,3.8/5 guest room rating,484 sq ft,14.0,$87
Dosso Dossi Hotels Old City,4.4/5,405 reviews,"Alemdar Mah Alay Köskü Cad No:12, Istanbul, Istanbul",4.6/5,4.5/5,4.1/5,4.4/5,90+,4.2/5 guest room rating,194 sq ft,14.0,$64
Darussaade Istanbul,4.4/5,338 reviews,"Akbiyik Cad. No:90 Istanbul, Istanbul, Istanbul",4.5/5,4.6/5,4.6/5,4.3/5,52+,4.5/5 guest room rating,172 sq ft,8.0,$59
Qua Hotel,3.7/5,207 reviews,"Mahmutbey Mh. Peyami Safa Cd. No:25, Bağcılar, Istanbul",3.8/5,3.6/5,3.3/5,3.8/5,66+,4.8/5 guest room rating,215 sq ft,14.0,$32
Witt Istanbul Hotel,4.9/5,172 reviews,"Defterdar Yokusu No 26 Cihangir, Istanbul",4.9/5,4.9/5,4.9/5,4.8/5,39+,4.9/5 guest room rating,484 sq ft,10.0,$156
Seven Hills Hotel - Special Class,4.4/5,495 reviews,"Cankurtaran Mh., Tevkifhane Sokak 8, Istanbul, Istanbul",4.4/5,4.6/5,4.3/5,4.2/5,31+,4.6/5 guest room rating,237 sq ft,9.0,$116
ibis Izmir Alsancak,4.3/5,568 reviews,"Ataturk Caddesi 404-410, Konak, Izmir, Izmir",4.4/5,4.2/5,4.1/5,4.3/5,26+,4.7/5 guest room rating,183 sq ft,8.0,$38
Ramada Plaza by Wyndham Istanbul City Center,4.1/5,293 reviews,"Halaskargazi Cad No 63, Osmanbey, Istanbul, Istanbul",4.2/5,4.1/5,4.2/5,4.0/5,46+,3.7/5 guest room rating,269 sq ft,15.0,$92
Deluxe Golden Horn Istanbul Hotel,4.0/5,425 reviews,"Binbirdirek Mah., Binbirdirek Meydani sokak No:1, Istanbul, Istanbul",4.0/5,4.0/5,4.0/5,3.9/5,53+,3.9/5 guest room rating,204 sq ft,8.0,$87
Hotel Paris Prestige,4.3/5,61 reviews,"1397 SOKAK NO.38/40, KAHRAMANLAR/KONAK, Izmir",4.6/5,4.5/5,4.4/5,4.5/5,23+,4.5/5 guest room rating,237 sq ft,8.0,$34
Taximist Hotel,4.3/5,104 reviews,"Kocatepe mah dolapdere 63, Taksim, Istanbul, Istanbul",4.3/5,4.5/5,4.0/5,4.0/5,60+,4.4/5 guest room rating,226 sq ft,6.0,$45
ByOtell Hotel Istanbul,4.1/5,782 reviews,"Saniye Ermutlu No. 3 Kozyatagi, Istanbul, Istanbul",4.4/5,4.2/5,4.0/5,4.2/5,56+,4.7/5 guest room rating,312 sq ft,11.0,$68
Hotel DeCamondo,4.9/5,46 reviews,"Felek Sk., Istanbul, Istanbul",5.0/5,5.0/5,4.8/5,4.9/5,55+,5/5 guest room rating,269 sq ft,12.0,$82
Olimpic Hotel,4.1/5,137 reviews,"Peykhane Cad. No16, Fatih, Istanbul",4.2/5,4.3/5,4.1/5,4.0/5,43+,4/5 guest room rating,226 sq ft,9.0,$38
Hilton Istanbul Bosphorus,4.3/5,"1,000 reviews","Cumhuriyet Caddesi, Harbiye, Istanbul, Istanbul",4.4/5,4.3/5,4.2/5,4.1/5,164+,4.4/5 guest room rating,441 sq ft,17.0,$125
Ada Hotel Istanbul,4.6/5,141 reviews,"Sehit Mehmetpasa Yokusu Sok 30, Istanbul, Istanbul",4.7/5,4.8/5,4.3/5,4.5/5,59+,5/5 guest room rating,226 sq ft,7.0,$48
Mono Hotel,4.5/5,69 reviews,"Hesapçi Sk. 70, Antalya, Antalya",4.6/5,4.6/5,4.3/5,4.5/5,56+,5/5 guest room rating,161 sq ft,6.0,$35
Radisson Blu Hotel Istanbul Ottomare,3.9/5,466 reviews,"Kazlicesme Mah. Abay Cad No: 223, Zeytinburnu, Istanbul",3.9/5,4.0/5,4.0/5,4.0/5,129+,4.1/5 guest room rating,258 sq ft,12.0,$80
Oglakcioglu Park Boutique Hotel,4.2/5,993 reviews,"1367 Sokak No: 9, Cankaya, Izmir, Izmir",4.4/5,4.4/5,4.1/5,4.2/5,56+,4.5/5 guest room rating,194 sq ft,8.0,$27
Nippon Hotel,4.2/5,623 reviews,"Topcu Caddesi No:6, Talimhane, Taksim, Istanbul, Istanbul",4.3/5,4.3/5,4.2/5,4.1/5,120+,4.2/5 guest room rating,215 sq ft,12.0,$85
The Stay Nisantasi,4.7/5,157 reviews,"Harbiye Mahallesi Abdi Ipekçi Cd. No:30, Nişantaşı, Şişli, Istanbul, Istanbul",4.7/5,4.8/5,4.3/5,4.5/5,72+,3.7/5 guest room rating,269 sq ft,9.0,$172
Sheraton Istanbul City Center,4.5/5,56 reviews,"Haci Ahmet Mah, Kurtulus Deresi Cad. No:23 Istanbul, Istanbul, Istanbul",4.7/5,4.7/5,4.6/5,4.6/5,74+,5/5 guest room rating,237 sq ft,15.0,$100
DUHOK OTEL,4.1/5,98 reviews,"Çukurlu Çesme Sk. 6, Istanbul, Istanbul",4.1/5,4.3/5,3.5/5,4.0/5,80+,3.6/5 guest room rating,172 sq ft,8.0,$22
Mugla Gulet Otel,4.1/5,219 reviews,"Cumhuriyet Caddesi No 177, Mugla, Mugla",4.1/5,4.2/5,3.7/5,4.0/5,45+,3.9/5 guest room rating,215 sq ft,10.0,$32
Holiday Inn Istanbul - Old City,4.2/5,471 reviews,"Gencturk Cad. Sirvanizade Sokak No. 5, Vezneciler-Fatih, Istanbul",4.3/5,4.3/5,4.2/5,4.1/5,67+,3.8/5 guest room rating,215 sq ft,12.0,$52
Tashkonak Hotel,4.3/5,822 reviews,"Kucukayasofya Cd. Tomurcuk Sk. No:5, Istanbul, Istanbul, Istanbul",4.4/5,4.6/5,3.9/5,4.1/5,78+,4.3/5 guest room rating,183 sq ft,10.0,$34
Hotel Manastir and Suites,4.2/5,258 reviews,"Kumbahce Mah Mustafa Kemal Cad No 37, Mugla, Mugla",4.3/5,4.2/5,3.9/5,4.2/5,93+,4.1/5 guest room rating,215 sq ft,16.0,$59
İlica Hotel Spa & Wellness Thermal Resort,4.2/5,"1,010 reviews","Boyalik Mevkii Ilica, Cesme, Izmir",4.2/5,4.1/5,4.0/5,4.2/5,158+,4.4/5 guest room rating,269 sq ft,17.0,$61
Conrad Istanbul Bosphorus,4.5/5,998 reviews,"Cihannuma Mahallesi, Saray Caddesi No:5, Besiktas, Istanbul, Istanbul",4.6/5,4.5/5,4.5/5,4.5/5,156+,4.5/5 guest room rating,377 sq ft,17.0,$125
Dorman Suites,4.6/5,28 reviews,"Bitez Mah. Halilim Cd. No 6, Mugla Bitez, Mugla, Mugla",4.5/5,4.5/5,4.7/5,4.7/5,98+,5/5 guest room rating,646 sq ft,13.0,$58
Wish More Hotel Istanbul,4.2/5,237 reviews,"Kocatepe Mah. Cicoz Yolu Cad. No: 207, Bayrampasa, Istanbul",4.4/5,4.2/5,4.3/5,4.3/5,98+,4.6/5 guest room rating,279 sq ft,14.0,$67
TRYP by Wyndham Istanbul Basın Ekspres,4.0/5,114 reviews,"Mahmutbey Mahallesi, Ordu Cd. No:13, Bagcilar, Istanbul",4.3/5,4.0/5,4.2/5,4.2/5,80+,4/5 guest room rating,355 sq ft,16.0,$48
Eser Premium Hotel and Spa,3.9/5,323 reviews,"Fatih Mahallesi, Gazi Mustafa Kemal Cd., No 11, Buyukcekmece, Istanbul, Istanbul",4.0/5,3.9/5,4.1/5,3.9/5,96+,4.3/5 guest room rating,322 sq ft,17.0,$59
Galata Times Boutique Hotel,4.5/5,107 reviews,"Evliya Celebi District, Mesrutiyet Street, No. 106, Istanbul, Istanbul, Istanbul",4.7/5,4.5/5,4.3/5,4.5/5,42+,4.2/5 guest room rating,322 sq ft,9.0,$66
Limak Lara De Luxe Hotel - All Inclusive,4.4/5,437 reviews,"Kemeragzi Mevkii P.K. 34 Lara, Antalya, Antalya",4.5/5,4.4/5,4.4/5,4.3/5,99+,4.6/5 guest room rating,344 sq ft,22.0,$250
Euro Stars Hotel Old City,4.2/5,330 reviews,"Ankara Caddesi Hocapasa Hamami, Sokak No:1, Istanbul, Istanbul",4.3/5,4.3/5,4.3/5,4.1/5,47+,3.9/5 guest room rating,344 sq ft,12.0,$50
Lara Barut Collection - All Inclusive,4.6/5,355 reviews,"Güzeloba Mah., Yasar Sobutay Mah. No:30, Lara, Antalya, Antalya",4.6/5,4.6/5,4.6/5,4.6/5,139+,4.6/5 guest room rating,279 sq ft,20.0,$327
Sheraton Istanbul Atakoy Hotel,4.1/5,472 reviews,"Rauf Orbay Caddesi Sahilyolu, No:10, Bakirkoy, Istanbul",4.3/5,4.1/5,4.0/5,4.2/5,171+,4.4/5 guest room rating,323 sq ft,20.0,$100
Corinne Art & Boutique Hotel,4.3/5,527 reviews,"Turnacibasi Cad. Ayhan Isik Sok. No: 41, Istanbul, Istanbul, Istanbul",4.3/5,4.2/5,3.9/5,4.3/5,48+,3.7/5 guest room rating,322 sq ft,9.0,$55
Istanbul Golden City Hotel,4.2/5,999 reviews,"Tersane Cad. No. 111, Karaköy, Istanbul, Istanbul, Istanbul",4.4/5,4.4/5,4.0/5,4.0/5,43+,4.2/5 guest room rating,194 sq ft,10.0,$47
Xanadu Resort Hotel,4.7/5,127 reviews,"Belek Turizm Merkezi Acisu Mevkii PK 49, Belek, Antalya",4.7/5,4.6/5,4.7/5,4.5/5,225+,4.7/5 guest room rating,280 sq ft,19.0,$232
Hotel Next2,4.2/5,257 reviews,"Kuloglu Mah. Turnacibasi Caddesi, Kocaaga Sok. No.10, Istanbul Taksim, Istanbul, Istanbul",4.2/5,4.5/5,3.7/5,4.0/5,74+,4.5/5 guest room rating,376 sq ft,5.0,$28
Wyndham Grand Istanbul Levent,4.6/5,696 reviews,"Buyukdere Street No 177 - 183 Sisli, Istanbul, Istanbul",4.6/5,4.5/5,4.5/5,4.6/5,110+,4.6/5 guest room rating,290 sq ft,18.0,$139
"Gezi Hotel Bosphorus, Istanbul, a Member of Design Hotels",4.4/5,707 reviews,"Mete Cd 34 Taksim, Istanbul, Istanbul",4.6/5,4.5/5,4.3/5,4.5/5,84+,,280 sq ft,14.0,$109
Alesta Yacht Hotel,4.4/5,182 reviews,"Karagozler Mah Fevzi Cakmak Cad, No 17 Yat Limani Karsisi, Mugla, Mugla",4.7/5,4.6/5,4.2/5,4.5/5,86+,4.7/5 guest room rating,215 sq ft,11.0,$103
Beethoven Premium Hotel,4.4/5,30 reviews,"Aga Yks., Istanbul, Istanbul",4.3/5,4.4/5,3.6/5,4.5/5,39+,,193 sq ft,10.0,$102
Hotel Saba Sultan,4.4/5,697 reviews,"Akbiyik Cad, Cetinkaya Sokak No: 4, Istanbul, Istanbul",4.6/5,4.7/5,4.1/5,4.3/5,31+,4.6/5 guest room rating,183 sq ft,8.0,$38
Hotel Mina – Special Class,4.2/5,304 reviews,"Piyerloti Cad. Dostlukyurdu Sok No:6, Istanbul, Istanbul, Istanbul",4.4/5,4.3/5,4.0/5,4.2/5,66+,4.6/5 guest room rating,183 sq ft,6.0,$60
Hotel Mina – Special Class,4.2/5,304 reviews,"Piyerloti Cad. Dostlukyurdu Sok No:6, Istanbul, Istanbul, Istanbul",4.4/5,4.3/5,4.0/5,4.2/5,66+,4.6/5 guest room rating,183 sq ft,6.0,$60
Movenpick Hotel Izmir,4.2/5,885 reviews,"Cumhuriyet Blv 138, Izmir, Izmir",4.3/5,4.3/5,4.1/5,4.2/5,60+,4.2/5 guest room rating,237 sq ft,15.0,$68
Degirmenburnu Residence,4.5/5,216 reviews,"Osman Nuri Bilgin Caddesi No:48, Mugla",4.2/5,4.3/5,4.4/5,4.6/5,62+,4.9/5 guest room rating,431 sq ft,7.0,$48
Berce Hotel,4.2/5,172 reviews,"Küçükayasofya Mah. Mustafapasa Sok No:6, Istanbul, Istanbul",4.3/5,4.5/5,3.6/5,4.1/5,71+,4.1/5 guest room rating,215 sq ft,6.0,$23
Divan Istanbul City,3.8/5,864 reviews,"Buyukdere Cad No 84, Istanbul, Istanbul",4.0/5,3.9/5,3.9/5,3.8/5,38+,4.2/5 guest room rating,269 sq ft,13.0,$59
Elite World Business Hotel,4.2/5,999 reviews,"Gültepe Mah Sehit Zafer Kiziltas Sk No 1, Küçükçekmece, E5 uzeri, Istanbul, Istanbul",4.3/5,4.2/5,4.3/5,4.3/5,46+,4.4/5 guest room rating,388 sq ft,16.0,$57
"The Ritz-Carlton, Istanbul",4.6/5,342 reviews,"Suzer Plaza, Askerocagi Caddesi, No:6, Elmadag/Sisli, Istanbul",4.8/5,4.7/5,4.7/5,4.6/5,98+,5/5 guest room rating,409 sq ft,15.0,$206
DoubleTree by Hilton Mugla Marina Vista,4.4/5,323 reviews,"Neyzen Tevfik Cad No 168, Mugla, Mugla",4.5/5,4.4/5,4.3/5,4.4/5,68+,4/5 guest room rating,237 sq ft,14.0,$89
Su Hotel,4.5/5,110 reviews,"Turgutreis Cad. 1201, Mugla, Mugla",4.5/5,4.6/5,4.0/5,4.4/5,143+,4.3/5 guest room rating,183 sq ft,10.0,$64
Hampton by Hilton Istanbul Zeytinburnu,4.4/5,358 reviews,"Prof. Muammer Aksoy Caddesi No:3, Zeytinburnu, Istanbul",4.6/5,4.4/5,4.1/5,4.4/5,48+,4.8/5 guest room rating,237 sq ft,12.0,$55
DoubleTree by Hilton Istanbul Esentepe,4.4/5,111 reviews,"Büyükdere Cd. No:117, Gayrettepe-Sisli, Istanbul, Istanbul",4.4/5,4.4/5,4.1/5,4.3/5,57+,4.6/5 guest room rating,280 sq ft,12.0,$68
Louis Appartements Galata,4.8/5,216 reviews,"Sahkulu Mah Ilk Belediye Cad No10 Sishan, Istanbul, Istanbul",4.9/5,4.9/5,4.7/5,4.9/5,48+,5/5 guest room rating,484 sq ft,10.0,$64
Courtyard by Marriott Istanbul West,4.1/5,998 reviews,"Basin Ekspress Yolu, Fatih Cad., Dereboyu Sok. No: 2, Halkali, Istanbul, Istanbul",4.3/5,4.1/5,4.0/5,4.1/5,51+,4.5/5 guest room rating,301 sq ft,16.0,$50
Dedeminn Marina Hotel,4.4/5,37 reviews,"Cumhuriyet Mah. Çarsiyol Cad. No: 63, Gocek, Mugla, Mugla",4.5/5,4.4/5,4.8/5,4.2/5,142+,5/5 guest room rating,376 sq ft,8.0,$132
Ferman Konak Hotel,4.4/5,163 reviews,"Cankurtaran M. Cankurtaran cad. No 72, Istanbul Fatih, Istanbul",4.6/5,4.6/5,4.3/5,4.3/5,51+,4.1/5 guest room rating,161 sq ft,8.0,$31
Galley Hotel,4.1/5,70 reviews,"Sehsuvar Bey Mah. Cömertler Sok. No:25, Istanbul",4.2/5,4.1/5,3.9/5,4.1/5,102+,,129 sq ft,13.0,$28
Park Inn by Radisson Istanbul Atasehir,4.6/5,408 reviews,"Serifali Mah. Kible Sokak No:25, Istanbul",4.6/5,4.5/5,4.2/5,4.5/5,45+,4.8/5 guest room rating,226 sq ft,13.0,$51
Smart Hotel Izmir,4.4/5,449 reviews,"FevziPaşa Bulvarı No. 153, Konak, Çankaya, Izmir",4.5/5,4.5/5,4.2/5,4.4/5,118+,4.5/5 guest room rating,269 sq ft,12.0,$45
Hotel Sultania- Boutique Class,4.7/5,795 reviews,"Ebusuud Caddesi Mehmet Murat Sok. No 4, Sirkeci, Istanbul, Istanbul",4.8/5,4.8/5,4.8/5,4.7/5,73+,4.8/5 guest room rating,248 sq ft,12.0,$133
Feri Suites,4.1/5,21 reviews,"Ortaköy Salhanesi Sk., No 8 Besiktas, Istanbul, Istanbul",3.9/5,4.5/5,4.2/5,4.2/5,73+,5/5 guest room rating,775 sq ft,9.0,$85
Hilton Istanbul Bomonti Hotel & Conference Center,4.5/5,"1,162 reviews","Silahsor Cad. No: 42 Bomonti Sisli, Istanbul, Istanbul",4.6/5,4.4/5,4.5/5,4.5/5,157+,4.8/5 guest room rating,377 sq ft,18.0,$110
Urban Suites Istanbul,4.4/5,119 reviews,"Günesli Sok. No:37 Cihangir, Istanbul, Istanbul, Istanbul",4.6/5,4.5/5,3.8/5,4.4/5,54+,4.2/5 guest room rating,183 sq ft,6.0,$62
SuB Karaköy - Special Class,4.3/5,287 reviews,"Necatibey Cad. 91, Istanbul, Istanbul",4.4/5,4.6/5,3.8/5,4.2/5,66+,4.3/5 guest room rating,215 sq ft,7.0,$83
Doubletree by Hilton Istanbul Moda,4.4/5,995 reviews,"Caferaga Mahallesi Albay Faik Sozdener, Cad No:31 Kadikoy, Istanbul, Istanbul",4.5/5,4.4/5,4.2/5,4.4/5,127+,,344 sq ft,,$106
Airport Residence Kurtkoy,3.6/5,221 reviews,"Yenişehir Mahallesi Millet Caddesi, Mustafa Akyol Sokak No:3, Istanbul",3.6/5,3.6/5,3.2/5,3.4/5,27+,5/5 guest room rating,322 sq ft,9.0,$35
Elite World Asia Hotel,4.2/5,346 reviews,"Inonu Cad. No 22, Kucukyali Maltepe, Istanbul",4.4/5,4.1/5,4.1/5,4.3/5,30+,4.7/5 guest room rating,322 sq ft,15.0,$65
Grand Park Lara - All Inclusive,4.0/5,173 reviews,"Kemeragzi Tesisler Cad. No: 339, Lara-Aksu, Antalya, Antalya",4.2/5,4.0/5,4.0/5,4.0/5,71+,4.1/5 guest room rating,237 sq ft,20.0,$116
Grand Hyatt Istanbul,4.5/5,956 reviews,"Harbiye Mah. Taskisla Caddesi No.1, Sisli, Istanbul",4.6/5,4.5/5,4.3/5,4.4/5,59+,4.3/5 guest room rating,409 sq ft,17.0,$149
DoubleTree By Hilton Antalya City Centre,4.4/5,138 reviews,"Adnan Menderes Bulvari No 61 Etiler, Antalya",4.7/5,4.4/5,4.7/5,4.7/5,103+,4.8/5 guest room rating,301 sq ft,14.0,$48
Fraser Place Antasya Istanbul,4.4/5,71 reviews,"Saray Mah Kucuksu Cad No 64A, Umraniye, Istanbul",4.4/5,4.5/5,4.4/5,4.5/5,40+,,484 sq ft,20.0,$65
Mandarin Oriental Mugla,4.7/5,65 reviews,"Cennet Koyu Comca Mevkii, 314., Sokak No. 10, Golturkbuku, Mugla, Mugla",4.8/5,4.7/5,4.9/5,4.9/5,123+,5/5 guest room rating,775 sq ft,18.0,$464
Istanbul Palace Hotel - Special Class,4.5/5,162 reviews,"Istanbul mah. Torun Sokak, No:19, Istanbul, Istanbul",4.4/5,4.6/5,4.0/5,4.3/5,63+,4.7/5 guest room rating,215 sq ft,10.0,$100
Hilton Istanbul Maslak,4.5/5,193 reviews,"Buyukdere Cd. No: 233, Istanbul",4.6/5,4.5/5,4.5/5,4.6/5,113+,4.9/5 guest room rating,377 sq ft,16.0,$115
CVK Taksim Hotel Istanbul,3.7/5,108 reviews,"Siraselviler cad. no:11, Taksim, Istanbul, Istanbul",4.0/5,3.8/5,3.6/5,3.8/5,56+,3.8/5 guest room rating,204 sq ft,15.0,$73
Serenity Suites Istanbul Airport,3.8/5,151 reviews,"Halkalı merkez mah. Zeynebiye, cad.No:1/1-76 Küçükçekmece, Istanbul",3.8/5,3.9/5,4.0/5,3.9/5,44+,3.6/5 guest room rating,861 sq ft,13.0,$56
Radisson Blu Hotel Istanbul Asia,4.3/5,786 reviews,"Ataturk Mahallesi Yakut Caddesi, Atasehir, Istanbul, Istanbul",4.5/5,4.4/5,4.3/5,4.4/5,160+,4.6/5 guest room rating,280 sq ft,19.0,$82
Titanic Comfort Sisli,4.2/5,212 reviews,"Operator Raifbey Sok.No. 40, Sisli, Istanbul, Istanbul",4.3/5,4.1/5,3.7/5,4.1/5,37+,,215 sq ft,9.0,$47
Loft 1502,4.4/5,114 reviews,"Sirinyali Mah., 1502 Sokak No 9, Antalya",4.4/5,4.4/5,4.4/5,4.5/5,27+,4.3/5 guest room rating,161 sq ft,9.0,$37
Hotel Suadiye,4.0/5,396 reviews,"Bagdat Caddesi, Plaj Yolu, No:25, Suadiye, Istanbul, Istanbul",4.1/5,4.1/5,3.5/5,3.9/5,67+,3.9/5 guest room rating,183 sq ft,13.0,$61
