hotel_name,overall_rating,total_review,location,cleanliness_rating,service_rating,amenities_rating,facilities_rating,total_photo,room_rating,room_size,number_of_amenities,price
Nilufer Otel - Adult Only,4.6/5,85 reviews,"Ali Cetinkaya mahallesi, Abdi Ipekci Cad. 1. Sokak No. 4, Ayvalik, Balikesir",4.7/5,4.5/5,4.3/5,4.7/5,36+,4.7/5 guest room rating,258 sq ft,5.0,$43
Chatto Residence,4.7/5,20 reviews,"Kavala sok.No 12, Cumhuriyet cad.Cami mah., Istanbul",4.6/5,4.4/5,2.0/5,4.5/5,29+,,236 sq ft,,$62
My Home Istanbul Hotel,3.6/5,99 reviews,"Pierlotti Cad No:35 Istanbul, Istanbul, Istanbul",3.9/5,3.7/5,3.4/5,3.5/5,20+,,86 sq ft,10.0,$27
Butik Pendik Hotel,4.3/5,21 reviews,"Dogu Mahallesi ErolKaya Caddesi No:172, Istanbul, Istanbul",4.4/5,4.6/5,2.0/5,4.0/5,35+,,86 sq ft,7.0,$54
Hotel Doruk,4.0/5,27 reviews,"Birinci Karagozler Mah., Fevzi Cakmak Cad. No 11 Mugla, Mugla",4.3/5,4.2/5,5.0/5,4.0/5,47+,,205 sq ft,10.0,$55
Ataşehir Palace Hotel,2.8/5,288 reviews,"Kucukbakkalkoy Mah., Kayisdagi Cad. No: 143/1, Istanbul",2.8/5,2.6/5,2.5/5,2.7/5,37+,,129 sq ft,6.0,$22
Queen Boutique Hotel,4.0/5,35 reviews,"Gündönümü Mevki/ Halilim cad. NO:3, Bitez, Mugla, Mugla",4.1/5,4.1/5,2.0/5,3.9/5,33+,3.9/5 guest room rating,215 sq ft,9.0,$21
Oyster Residences,,120 reviews,"Belcekiz Mevkii 224 Sok No 1, Oludeniz Mugla, Mugla, Mugla",4.5/5,4.4/5,4.2/5,4.4/5,49+,5/5 guest room rating,161 sq ft,10.0,$235
Akka Lush Taksim,4.5/5,24 reviews,"Katip Çelebi Mh., Siraselviler Cd. No 10, Istanbul, Istanbul",4.4/5,4.4/5,4.5/5,4.6/5,49+,4.3/5 guest room rating,215 sq ft,10.0,$81
Dream Time Hotel,3.7/5,162 reviews,"Hasim Iscan Mh. 1306 Sk No:35, Antalya",3.8/5,3.8/5,3.4/5,3.7/5,70+,4.2/5 guest room rating,301 sq ft,9.0,$21
Marka Hotel,3.8/5,98 reviews,"Elmali Mah 7, Sok. No:36, Antalya, Antalya, Antalya",3.9/5,3.9/5,3.1/5,3.6/5,48+,4.7/5 guest room rating,301 sq ft,8.0,$15
Zin D Home Alemdag,3.9/5,14 reviews,"Eksioglu Mh 30 Sk No 22, Istanbul",3.5/5,3.5/5,4.5/5,3.8/5,26+,4/5 guest room rating,301 sq ft,9.0,$35
Faralya Limon Hotel,4.0/5,37 reviews,"Uzunyurt Mah. Kizilcaka Street No: 11, Mugla, Mugla",3.9/5,4.3/5,4.0/5,3.9/5,111+,4.4/5 guest room rating,215 sq ft,13.0,$26
City Live Hotel,3.1/5,42 reviews,"Fener Mh. Falez Cad No 3, Antalya, Antalya, Antalya",3.2/5,3.2/5,4.0/5,3.1/5,23+,5/5 guest room rating,322 sq ft,14.0,$57
Bera Hotel Alanya - All Inclusive,4.0/5,70 reviews,"Konakli Mh. Kulak Mevkii No 12, Alanya, Antalya",4.2/5,4.0/5,3.8/5,3.9/5,61+,4.8/5 guest room rating,452 sq ft,13.0,$73
ANTALYA HOTEL RESORT AND SPA,3.2/5,83 reviews,"Eski Lara Yolu, No:40, Sirinyali Mah, Antalya, Antalya",3.4/5,3.1/5,2.3/5,3.3/5,27+,,280 sq ft,13.0,$70
Etto Park Hotel,3.3/5,6 reviews,"Oludeniz Mh. Oludeniz Cd. No. 22, Mugla, Mugla",3.2/5,3.5/5,3.5/5,2.7/5,56+,5/5 guest room rating,280 sq ft,7.0,$59
Veramor Hotel Wellness & Spa,3.6/5,192 reviews,"1488 Sok. No. 7 Alsancak, Izmir, Izmir",3.5/5,3.7/5,2.8/5,3.4/5,33+,,215 sq ft,8.0,$40
Robin's Nest,4.1/5,113 reviews,"Yakuplu Caddesi No.118A, Sile, Istanbul",3.9/5,4.1/5,5.0/5,4.1/5,35+,4.8/5 guest room rating,215 sq ft,8.0,$73
